latitude,longitude,elevation,datetime,elapsed_time_seconds,geometry,previous_geometry,distance_since_previous
40.704773,-73.995254,41.8,2023-07-25 12:51:12+00:00,552.0,POINT (985565.8805926683 196044.32096788217),POINT (985579.4671582674 196030.11283922862),19.658730493447454
40.704805,-73.995299,41.9,2023-07-25 12:51:13+00:00,553.0,POINT (985553.403223086 196055.97885393794),POINT (985565.8805926683 196044.32096788217),17.07603756677735
40.704845,-73.995344,42.0,2023-07-25 12:51:14+00:00,554.0,POINT (985540.9257105613 196070.55138617932),POINT (985553.403223086 196055.97885393794),19.18455146022327
40.704886,-73.995392,42.1,2023-07-25 12:51:15+00:00,555.0,POINT (985527.6164123142 196085.4882111124),POINT (985540.9257105613 196070.55138617932),20.00615302629407
40.704926,-73.995443,42.2,2023-07-25 12:51:16+00:00,556.0,POINT (985513.4753683844 196100.06067016337),POINT (985527.6164123142 196085.4882111124),20.30580424948361
40.704961,-73.995491,42.3,2023-07-25 12:51:17+00:00,557.0,POINT (985500.166215711 196112.81153046127),POINT (985513.4753683844 196100.06067016337),18.431440074482
40.705004,-73.995538,42.4,2023-07-25 12:51:18+00:00,558.0,POINT (985487.1341885962 196128.47705202704),POINT (985500.166215711 196112.81153046127),20.37749485708426
40.705048,-73.995588,42.5,2023-07-25 12:51:19+00:00,559.0,POINT (985473.27038043 196144.50686873318),POINT (985487.1341885962 196128.47705202704),21.193399927794317
40.705084,-73.995643,42.5,2023-07-25 12:51:20+00:00,560.0,POINT (985458.020437291 196157.62198463044),POINT (985473.27038043 196144.50686873318),20.113851713244046
40.705119,-73.995693,42.6,2023-07-25 12:51:21+00:00,561.0,POINT (985444.156826197 196170.3728483156),POINT (985458.020437291 196157.62198463044),18.835717063118963
40.705154,-73.995748,42.7,2023-07-25 12:51:22+00:00,562.0,POINT (985428.9069327047 196183.12365263345),POINT (985444.156826197 196170.3728483156),19.878185588209607
40.705196,-73.995802,42.8,2023-07-25 12:51:23+00:00,563.0,POINT (985413.9341922544 196198.42478975002),POINT (985428.9069327047 196183.12365263345),21.408123543451214
40.705235,-73.995847,42.8,2023-07-25 12:51:24+00:00,564.0,POINT (985401.4568538615 196212.63306440332),POINT (985413.9341922544 196198.42478975002),18.909231660663217
40.705276,-73.9959,42.9,2023-07-25 12:51:25+00:00,565.0,POINT (985386.761424819 196227.56990159364),POINT (985401.4568538615 196212.63306440332),20.953871718417563
40.705317,-73.995955,43.0,2023-07-25 12:51:26+00:00,566.0,POINT (985371.5114964332 196242.50672214516),POINT (985386.761424819 196227.56990159364),21.34640306846539
40.705354,-73.996005,43.0,2023-07-25 12:51:27+00:00,567.0,POINT (985357.6479459808 196255.98629556585),POINT (985371.5114964332 196242.50672214516),19.336414630170324
40.705389,-73.996054,43.0,2023-07-25 12:51:28+00:00,568.0,POINT (985344.061702144 196268.73722947694),POINT (985357.6479459808 196255.98629556585),18.63256120875355
40.705427,-73.996111,43.0,2023-07-25 12:51:29+00:00,569.0,POINT (985328.2573578992 196282.58106245112),POINT (985344.061702144 196268.73722947694),21.010212003309228
40.705467,-73.996161,43.1,2023-07-25 12:51:30+00:00,570.0,POINT (985314.3938064267 196297.1536507515),POINT (985328.2573578992 196282.58106245112),20.113636896509522
40.705518,-73.996214,43.1,2023-07-25 12:51:31+00:00,571.0,POINT (985299.6983246092 196315.73384105187),POINT (985314.3938064267 196297.1536507515),23.689251939332866
40.705556,-73.996273,43.0,2023-07-25 12:51:32+00:00,572.0,POINT (985283.3395207955 196329.57767952277),POINT (985299.6983246092 196315.73384105187),21.430406571583063
40.7056,-73.99633,43.0,2023-07-25 12:51:33+00:00,573.0,POINT (985267.5351591682 196345.60753232692),POINT (985283.3395207955 196329.57767952277),22.510753593998338
40.705642,-73.996385,43.0,2023-07-25 12:51:34+00:00,574.0,POINT (985252.285363182 196360.90875837125),POINT (985267.5351591682 196345.60753232692),21.602865459963393
40.705688,-73.99644,43.0,2023-07-25 12:51:35+00:00,575.0,POINT (985237.0355271845 196377.66731409932),POINT (985252.285363182 196360.90875837125),22.65847938500171
40.705739,-73.996496,43.0,2023-07-25 12:51:36+00:00,576.0,POINT (985221.5083823907 196396.24751846437),POINT (985237.0355271845 196377.66731409932),24.213967450495048
40.705777,-73.99655,43.0,2023-07-25 12:51:37+00:00,577.0,POINT (985206.5359613751 196410.09146455562),POINT (985221.5083823907 196396.24751846437),20.39186687005783
40.70582,-73.996608,43.0,2023-07-25 12:51:38+00:00,578.0,POINT (985190.4544603231 196425.75702704233),POINT (985206.5359613751 196410.09146455562),22.45049050936529
40.705866,-73.996665,43.0,2023-07-25 12:51:39+00:00,579.0,POINT (985174.6501948478 196442.51560087284),POINT (985190.4544603231 196425.75702704233),23.03529040504367
40.705907,-73.996721,43.0,2023-07-25 12:51:40+00:00,580.0,POINT (985159.1232756084 196457.45254536756),POINT (985174.6501948478 196442.51560087284),21.54524383492347
40.705946,-73.996774,43.0,2023-07-25 12:51:41+00:00,581.0,POINT (985144.4281705692 196471.66087045768),POINT (985159.1232756084 196457.45254536756),20.440709722967682
40.706007,-73.996823,43.0,2023-07-25 12:51:42+00:00,582.0,POINT (985130.8418157655 196493.8845051702),POINT (985144.4281705692 196471.66087045768),26.047629003211018
40.706053,-73.996878,42.9,2023-07-25 12:51:43+00:00,583.0,POINT (985115.5921470622 196510.6431379498),POINT (985130.8418157655 196493.8845051702),22.658423780183266
40.706104,-73.996944,42.8,2023-07-25 12:51:44+00:00,584.0,POINT (985097.2926257752 196529.22332394758),POINT (985115.5921470622 196510.6431379498),26.078646265554084
40.70613,-73.997005,42.7,2023-07-25 12:51:45+00:00,585.0,POINT (985080.3797200463 196538.69532051004),POINT (985097.2926257752 196529.22332394758),19.384661438219876
40.706187,-73.997069,42.6,2023-07-25 12:51:46+00:00,586.0,POINT (985062.6346839336 196559.46153195068),POINT (985080.3797200463 196538.69532051004),27.315230993703697
40.706229,-73.997131,42.6,2023-07-25 12:51:47+00:00,587.0,POINT (985045.4443668727 196574.76282418324),POINT (985062.6346839336 196559.46153195068),23.01383376669163
40.706277,-73.997188,42.5,2023-07-25 12:51:48+00:00,588.0,POINT (985029.6402750262 196592.25015333065),POINT (985045.4443668727 196574.76282418324),23.5706597234973
40.706328,-73.997264,42.3,2023-07-25 12:51:49+00:00,589.0,POINT (985008.5683358954 196610.83031787592),POINT (985029.6402750262 196592.25015333065),28.093578149832084
40.706389,-73.997325,42.2,2023-07-25 12:51:50+00:00,590.0,POINT (984991.6551321952 196633.05392786482),POINT (985008.5683358954 196610.83031787592),27.92750078942849
40.706446,-73.997384,42.0,2023-07-25 12:51:51+00:00,591.0,POINT (984975.2965109767 196653.8202461963),POINT (984991.6551321952 196633.05392786482),26.435666536207872
40.7065,-73.997454,41.8,2023-07-25 12:51:52+00:00,592.0,POINT (984955.888157906 196673.49349673002),POINT (984975.2965109767 196653.8202461963),27.635501722980766
40.706552,-73.997521,41.6,2023-07-25 12:51:53+00:00,593.0,POINT (984937.3116176084 196692.4381263398),POINT (984955.888157906 196673.49349673002),26.532750337653965
40.706594,-73.997589,41.5,2023-07-25 12:51:54+00:00,594.0,POINT (984918.4579532067 196707.7394621558),POINT (984937.3116176084 196692.4381263398),24.28150611318838
40.70665,-73.997651,41.3,2023-07-25 12:51:55+00:00,595.0,POINT (984901.2676951528 196728.14147797762),POINT (984918.4579532067 196707.7394621558),26.67859107141184
40.706705,-73.997726,41.1,2023-07-25 12:51:56+00:00,596.0,POINT (984880.473187259 196748.17908221055),POINT (984901.2676951528 196728.14147797762),28.877623550737027
40.706763,-73.997796,40.9,2023-07-25 12:51:57+00:00,597.0,POINT (984861.0649497428 196769.3097294247),POINT (984880.473187259 196748.17908221055),28.691182185094206
40.706825,-73.997869,40.7,2023-07-25 12:51:58+00:00,598.0,POINT (984840.8249531642 196791.8976922811),POINT (984861.0649497428 196769.3097294247),30.329416867153682
40.706882,-73.997941,40.5,2023-07-25 12:51:59+00:00,599.0,POINT (984820.8622892373 196812.6640284037),POINT (984840.8249531642 196791.8976922811),28.805358303862143
40.70694,-73.998017,40.4,2023-07-25 12:52:00+00:00,600.0,POINT (984799.7906433298 196833.7946860119),POINT (984820.8622892373 196812.6640284037),29.84156417156412
40.706997,-73.998092,40.4,2023-07-25 12:52:01+00:00,601.0,POINT (984778.9962937515 196854.5610380392),POINT (984799.7906433298 196833.7946860119),29.38786060444642
40.707052,-73.998166,40.5,2023-07-25 12:52:02+00:00,602.0,POINT (984758.4792464759 196874.5987536839),POINT (984778.9962937515 196854.5610380392),28.67855082062012
40.707111,-73.998241,40.5,2023-07-25 12:52:03+00:00,603.0,POINT (984737.6849525254 196896.0938015354),POINT (984758.4792464759 196874.5987536839),29.90718547498019
40.707172,-73.998317,40.6,2023-07-25 12:52:04+00:00,604.0,POINT (984716.613430372 196918.31752217407),POINT (984737.6849525254 196896.0938015354),30.62519885467883
40.707228,-73.998391,40.5,2023-07-25 12:52:05+00:00,605.0,POINT (984696.0964817338 196938.71962105064),POINT (984716.613430372 196918.31752217407),28.934249946891303
40.707279,-73.998475,40.3,2023-07-25 12:52:06+00:00,606.0,POINT (984672.8070939536 196957.30003857941),POINT (984696.0964817338 196938.71962105064),29.793078033700652
40.707334,-73.998552,40.1,2023-07-25 12:52:07+00:00,607.0,POINT (984651.4584701083 196977.337830904),POINT (984672.8070939536 196957.30003857941),29.279290656188337
40.707396,-73.998619,39.7,2023-07-25 12:52:08+00:00,608.0,POINT (984632.88234224 196999.92599630237),POINT (984651.4584701083 196977.337830904),29.245473883087158
40.707461,-73.998695,39.3,2023-07-25 12:52:09+00:00,609.0,POINT (984611.8109843701 197023.60712906616),POINT (984632.88234224 196999.92599630237),31.698551567189018
40.707502,-73.998765,38.9,2023-07-25 12:52:10+00:00,610.0,POINT (984592.4032880187 197038.54438146504),POINT (984611.8109843701 197023.60712906616),24.49041010061041
40.707558,-73.998851,38.5,2023-07-25 12:52:11+00:00,611.0,POINT (984568.559552575 197058.946542283),POINT (984592.4032880187 197038.54438146504),31.38107528350865
40.707612,-73.998939,38.0,2023-07-25 12:52:12+00:00,612.0,POINT (984544.1613676987 197078.62005974876),POINT (984568.559552575 197058.946542283),31.341964117365926
40.707692,-73.999033,37.4,2023-07-25 12:52:13+00:00,613.0,POINT (984518.0996241155 197107.7661660791),POINT (984544.1613676987 197078.62005974876),39.09872111481775
40.707776,-73.999124,36.9,2023-07-25 12:52:14+00:00,614.0,POINT (984492.8696740204 197138.3696294048),POINT (984518.0996241155 197107.7661660791),39.66260643638055
40.707851,-73.999224,36.4,2023-07-25 12:52:15+00:00,615.0,POINT (984465.144583326 197165.69412605368),POINT (984492.8696740204 197138.3696294048),38.92696714532305
40.707949,-73.999316,35.8,2023-07-25 12:52:16+00:00,616.0,POINT (984439.6374724882 197201.39826445078),POINT (984465.144583326 197165.69412605368),43.87935963487946
40.708002,-73.999405,35.4,2023-07-25 12:52:17+00:00,617.0,POINT (984414.9622900829 197220.707580434),POINT (984439.6374724882 197201.39826445078),31.332320540842794
40.708069,-73.999499,34.9,2023-07-25 12:52:18+00:00,618.0,POINT (984388.9008811145 197245.11753533484),POINT (984414.9622900829 197220.707580434),35.70774335741436
40.708141,-73.999589,34.5,2023-07-25 12:52:19+00:00,619.0,POINT (984363.9485039447 197271.34917419477),POINT (984388.9008811145 197245.11753533484),36.2038672479141
40.708218,-73.999681,33.9,2023-07-25 12:52:20+00:00,620.0,POINT (984338.4416807072 197299.40248756297),POINT (984363.9485039447 197271.34917419477),37.91551691068867
40.708295,-73.99977,33.4,2023-07-25 12:52:21+00:00,621.0,POINT (984313.7666553794 197327.45583015712),POINT (984338.4416807072 197299.40248756297),37.361034589907455
40.708377,-73.999865,33.0,2023-07-25 12:52:22+00:00,622.0,POINT (984287.4282082017 197357.33084616764),POINT (984313.7666553794 197327.45583015712),39.82750784778266
40.70846,-73.999957,32.5,2023-07-25 12:52:23+00:00,623.0,POINT (984261.9215625846 197387.5702215971),POINT (984287.4282082017 197357.33084616764),39.56019207484894
40.708539,-74.000051,32.1,2023-07-25 12:52:24+00:00,624.0,POINT (984235.860489043 197416.35230388225),POINT (984261.9215625846 197387.5702215971),38.82766816080909
40.708619,-74.000145,31.6,2023-07-25 12:52:25+00:00,625.0,POINT (984209.7994778762 197445.49874457807),POINT (984235.860489043 197416.35230388225),39.098482173560825
40.708696,-74.00024,31.2,2023-07-25 12:52:26+00:00,626.0,POINT (984183.4612816198 197473.5522238559),POINT (984209.7994778762 197445.49874457807),38.47984253641382
40.708774,-74.000334,30.8,2023-07-25 12:52:27+00:00,627.0,POINT (984157.4003919456 197501.97006107512),POINT (984183.4612816198 197473.5522238559),38.55831224043661
